Event Name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
,Bradford - City Centre,monthly,24/12/2025,2647886.17,85415.68,2069607.121,66761.51777,578279.0487,18654.16223,
,Bradford - City Centre,monthly,25/12/2025,2560271.25,85342.38,2001126.662,66704.22596,559144.5884,18638.15404,
,Bradford - City Centre,monthly,26/12/2025,2409636.41,77730.21,1883389.373,60754.49843,526247.0368,16975.71157,
,Bradford - City Centre,monthly,27/12/2025,2407549.86,77662.9,1881758.51,60701.88844,525791.3495,16961.01156,
,Bradford - City Centre,monthly,28/12/2025,2664584.94,88819.5,2082659.002,69421.96828,581925.9384,19397.53172,
,Bradford - City Centre,monthly,29/12/2025,2748683.93,88667.22,2148391.385,69302.94513,600292.5451,19364.27487,
,Bradford - City Centre,monthly,29/12/2025,2603071.43,86769.05,2034579.594,67819.32163,568491.8359,18949.72837,
,Bradford - City Centre,monthly,30/12/2025,2583144.9,83327.25,2019004.873,65129.18567,564140.027,18198.06433,
,Bradford - City Centre,monthly,31/12/2025,2566991.53,82806.18,2006379.281,64721.91356,560612.2486,18084.26644,
,Bradford - City Centre,monthly,01/01/2026,2416903.57,86317.98,1889069.438,67466.76203,527834.1316,18851.21797,
,Bradford - City Centre,monthly,02/01/2026,2640023.55,85162.05,2063461.64,66563.27872,576561.9097,18598.77128,
,Bradford - City Centre,monthly,03/01/2026,2626214.76,87540.49,2052668.589,68422.28475,573546.1706,19118.20525,
,Bradford - City Centre,monthly,04/01/2026,2673615.96,86245.68,2089717.713,67410.25182,583898.2474,18835.42818,
,Bradford - City Centre,monthly,Friday,2572693.85,85756.46,2010836.256,67027.8739,561857.5938,18728.5861,
,Bradford - City Centre,monthly,Monday,2572654.65,82988.86,2010805.617,64864.69758,561849.0328,18124.16242,
,Bradford - City Centre,monthly,Saturday,2521162.56,81327.82,1970559.025,63566.41662,550603.5355,17761.40338,
,Bradford - City Centre,monthly,Sunday,2367820.21,78927.34,1850705.527,61690.18396,517114.6834,17237.15604,
,Bradford - City Centre,monthly,Thursday,2658533.21,85759.14,2077928.925,67029.96861,580604.2846,18729.17139,
,Bradford - City Centre,monthly,Tuesday,2640095.56,88003.19,2063517.924,68783.93444,576577.6362,19219.25556,
,Bradford - City Centre,monthly,Wednesday,2939829.63,94833.21,2297792.257,74122.32783,642037.3734,20710.88217,
